intID	RA_0h_score	RA_0h_N	RA_0h_N.1	RA_0h_N.2	RA_72h_score	RA_72h_N	RA_72h_N.1	RA_72h_N.2	baitID	otherEndID	seqnames_otherEnd	start_otherEnd	end_otherEnd	seqnames_bait	start_bait	end_bait	RA_0h_N.1_downsampled	RA_0h_N.2_downsampled	RA_72h_N.1_downsampled	RA_72h_N.2_downsampled	RA_0h_N_downsampled	RA_72h_N_downsampled	genename	RA_0h_rep1_score	RA_0h_rep2_score	RA_72h_rep1_score	RA_72h_rep2_score	K27ac_peaks_bait	K27me3_peaks_bait	K27ac_peaks_otherEnd	K27me3_peaks_otherEnd	clusters_refined
3958676;3958254,3958676;3958256,3958676;3958261	7.09236177058492	32	34	29	0.234496700418825	6	7	6	3958676	3958254,3958256,3958261	chr11	96170981	96177162	chr11	96343553	96345280	25.9949988153956	29	6.93819718042436	4.9415719857358	32	5.6688842292037	Hoxb3	4.44840109187503	4.46654354437897	0.586468356274777	0.261683701765158	TRUE	TRUE	FALSE	TRUE	interaction
3958676;3958290	5.38790751063118	28	32	22	0.119018950151172	5	2	8	3958676	3958290	chr11	96187317	96188091	chr11	96343553	96345280	24.4658812380193	22	1.98234205154982	6.58876264764773	28	4.72407019100309	Hoxb3	3.77832865200289	2.88012371280908	0	0.629081829816617	TRUE	TRUE	FALSE	TRUE	interaction
3958676;3958308	5.35092022143936	29	36	20	0.0136840799065556	5	1	9	3958676	3958308	chr11	96196118	96196585	chr11	96343553	96345280	27.5241163927718	20	0.991171025774909	7.4123579786037	29	4.72407019100309	Hoxb3	4.15562637387476	2.41298090620757	0	0.611545935955457	TRUE	TRUE	FALSE	TRUE	interaction
3958676;3958322	7.63420259694121	43	49	36	0.355185680204189	6	5	7	3958676	3958322	chr11	96202362	96203554	chr11	96343553	96345280	37.4633806457171	36	4.95585512887454	5.76516731669176	43	5.6688842292037	Hoxb3	4.8114454542757	4.85279996609212	0.234339543879907	0.428024565650038	TRUE	TRUE	FALSE	TRUE	interaction
3958676;3958489	5.66678780855164	49	55	42	0.773379712070618	11	10	11	3958676	3958489	chr11	96267885	96268590	chr11	96343553	96345280	42.0507333778457	42	9.91171025774909	9.05954864051563	49	10.3929544202068	Hoxb3	3.92469845449131	3.48293817437634	0.85336904030401	0.655628738155974	TRUE	TRUE	FALSE	TRUE	interaction
3958676;3958496,3958676;3958497,3958676;3958498,3958676;3958503,3958676;3958504,3958676;3958505,3958676;3958507,3958676;3958512,3958676;3958514,3958676;3958517,3958676;3958518,3958676;3958519,3958676;3958520,3958676;3958522,3958676;3958525,3958676;3958526	6.25330791050323	54	61	45	1.66968849469856	15	19	12	3958676	3958496,3958497,3958498,3958503,3958504,3958505,3958507,3958512,3958514,3958517,3958518,3958519,3958520,3958522,3958525,3958526	chr11	96269809	96287101	chr11	96343553	96345280	46.6380861099744	45	18.8322494897233	9.88314397147159	54	14.1722105730093	Hoxb3	4.31140350851765	3.68481118599843	1.9606854196567	0.881947160230363	TRUE	TRUE	FALSE	TRUE	interaction
3958676;3958532,3958676;3958534,3958676;3958537,3958676;3958541,3958676;3958542,3958676;3958547,3958676;3958550	5.88900957400214	65	78	48	1.94823491110305	20	22	18	3958676	3958532,3958534,3958537,3958541,3958542,3958547,3958550	chr11	96289522	96297397	chr11	96343553	96345280	59.6355855176721	48	21.805762567048	14.8247159572074	65	18.8962807640123	Hoxb3	4.41444264955056	3.10166555769094	1.85994662398904	1.23527457616347	TRUE	TRUE	FALSE	TRUE	interaction
3958676;3958559,3958676;3958560,3958676;3958562,3958676;3958563,3958676;3958566,3958676;3958567,3958676;3958571	6.70210282495577	85	99	67	3.67670493862389	36	32	39	3958676	3958559,3958560,3958562,3958563,3958566,3958567,3958571	chr11	96299938	96304264	chr11	96343553	96345280	75.6913200801223	67	31.7174728247971	32.1202179072827	85	34.0133053752222	Hoxb3	4.80907278928883	3.75895679736322	2.41499567068316	2.56028584426834	TRUE	TRUE	FALSE	TRUE	interaction
3958676;3958584	5.30258956093722	85	93	74	2.82243848601409	40	37	43	3958676	3958584	chr11	96309046	96309674	chr11	96343553	96345280	71.1039673479937	74	36.6733279536716	35.4145992311065	85	37.7925615280247	Hoxb3	3.70980007635951	3.43708302903279	2.11542509431791	2.38217230329733	TRUE	TRUE	TRUE	TRUE	interaction
3958676;3958608	5.09373147597881	114	126	99	5.77430171758659	75	63	86	3958676	3958608	chr11	96317195	96318052	chr11	96343553	96345280	96.3344073747012	99	62.4437746238192	70.8291984622131	114	70.8610528650463	Hoxb3	3.43433947669482	3.69686329252754	3.27797598040902	3.97521648637783	TRUE	TRUE	TRUE	TRUE	interaction
3958676;3958841	2.847967654598	34	33	36	5.46401564390741	38	33	43	3958676	3958841	chr11	96406590	96407047	chr11	96343553	96345280	25.2304400267074	36	32.708643850572	35.4145992311065	34	35.9029334516235	Hoxb3	1.86306199005402	2.49677120243425	3.26766688323551	3.65510209709145	TRUE	TRUE	FALSE	FALSE	interaction
3958676;3959148	1.87276186238652	15	17	13	6.3041547893756	21	14	26	3958676	3959148	chr11	96530325	96533281	chr11	96343553	96345280	12.9974994076978	13	13.8763943608487	21.4134786048551	15	19.841094802213	Hoxb3	1.43740277631358	1.55834883817314	2.60876969562926	4.59648720671061	TRUE	TRUE	FALSE	FALSE	interaction
