intID	RA_0h_score	RA_0h_N	RA_0h_N.1	RA_0h_N.2	RA_72h_score	RA_72h_N	RA_72h_N.1	RA_72h_N.2	baitID	otherEndID	seqnames_otherEnd	start_otherEnd	end_otherEnd	seqnames_bait	start_bait	end_bait	RA_0h_N.1_downsampled	RA_0h_N.2_downsampled	RA_72h_N.1_downsampled	RA_72h_N.2_downsampled	RA_0h_N_downsampled	RA_72h_N_downsampled	genename	RA_0h_rep1_score	RA_0h_rep2_score	RA_72h_rep1_score	RA_72h_rep2_score	K27ac_peaks_bait	K27me3_peaks_bait	K27ac_peaks_otherEnd	K27me3_peaks_otherEnd	clusters_refined
3958676;3958571	7.5041280063389	111	129	88	5.03236763023109	53	58	48	3958676	3958571	chr11	96303770	96304264	chr11	96343553	96345280	98.6280837407655	88	57.4879194949447	39.5325758858864	111	50.0751440246327	Hoxb3	5.89617622952254	4.65425481523853	4.26802016621194	2.6171360257201	TRUE	TRUE	TRUE	TRUE	interaction
3958676;3958608	5.09373147597881	114	126	99	5.77430171758659	75	63	86	3958676	3958608	chr11	96317195	96318052	chr11	96343553	96345280	96.3344073747012	99	62.4437746238192	70.8291984622131	114	70.8610528650463	Hoxb3	3.43433947669482	3.69686329252754	3.27797598040902	3.97521648637783	TRUE	TRUE	TRUE	TRUE	interaction
3958676;3958841	2.847967654598	34	33	36	5.46401564390741	38	33	43	3958676	3958841	chr11	96406590	96407047	chr11	96343553	96345280	25.2304400267074	36	32.708643850572	35.4145992311065	34	35.9029334516235	Hoxb3	1.86306199005402	2.49677120243425	3.26766688323551	3.65510209709145	TRUE	TRUE	FALSE	FALSE	interaction
3958676;3959148	1.87276186238652	15	17	13	6.3041547893756	21	14	26	3958676	3959148	chr11	96530325	96533281	chr11	96343553	96345280	12.9974994076978	13	13.8763943608487	21.4134786048551	15	19.841094802213	Hoxb3	1.43740277631358	1.55834883817314	2.60876969562926	4.59648720671061	TRUE	TRUE	FALSE	FALSE	interaction
3958676;3959160	1.96096124284155	13	16	10	5.91675376133645	22	20	24	3958676	3959160	chr11	96536113	96537201	chr11	96343553	96345280	12.2329406190097	10	19.8234205154982	19.7662879429432	13	20.7859088404136	Hoxb3	1.71566291970862	0.976688791182045	4.29044924505048	3.34722941632628	TRUE	TRUE	FALSE	FALSE	interaction
3958676;3959166	1.98697844316027	13	15	11	5.08250194042533	19	11	25	3958676	3959166	chr11	96538695	96539181	chr11	96343553	96345280	11.4683818303216	11	10.902881283524	20.5898832738992	13	17.9514667258117	Hoxb3	1.55681922905045	1.19611415039862	1.87055805669788	3.90418903764079	TRUE	TRUE	FALSE	FALSE	interaction
3958676;3959172	4.78477482774729	22	28	15	7.1995931646448	25	21	28	3958676	3959172	chr11	96539974	96541708	chr11	96343553	96345280	21.4076460832669	15	20.8145915412731	23.0606692667671	22	23.6203509550154	Hoxb3	3.9243933559697	2.05220520685504	4.64380559588358	4.54011110102272	TRUE	TRUE	FALSE	FALSE	interaction
3958676;3959185	1.46994480689339	11	14	7	5.64728308551178	20	18	22	3958676	3959185	chr11	96545307	96546779	chr11	96343553	96345280	10.7038230416335	7	17.8410784639484	18.1190972810313	11	18.8962807640123	Hoxb3	1.42775595406317	0.378738777048458	3.89640600995824	3.95230387675146	TRUE	TRUE	FALSE	FALSE	interaction
3958676;3959194,3958676;3959195,3958676;3959196,3958676;3959200,3958676;3959203	4.68738381434938	21	27	14	7.0002695068636	23	20	26	3958676	3959194,3959195,3959196,3959200,3959203	chr11	96550095	96553990	chr11	96343553	96345280	20.6430872945788	14	19.8234205154982	21.4134786048551	21	21.7307228786142	Hoxb3	3.91690073574077	1.92645920725269	4.54081569625311	4.96130769433714	TRUE	TRUE	FALSE	FALSE	interaction
3958676;3959215,3958676;3959220,3958676;3959222,3958676;3959224	3.01230988889036	17	21	12	5.62862691004869	18	21	15	3958676	3959215,3959220,3959222,3959224	chr11	96556677	96561603	chr11	96343553	96345280	16.0557345624502	12	20.8145915412731	12.3539299643395	17	17.0066526876111	Hoxb3	2.8675681680217	1.53248357512838	4.9596182756062	2.44002845028478	TRUE	TRUE	FALSE	FALSE	interaction
