intID	RA_0h_score	RA_0h_N	RA_0h_N.1	RA_0h_N.2	RA_72h_score	RA_72h_N	RA_72h_N.1	RA_72h_N.2	baitID	otherEndID	seqnames_otherEnd	start_otherEnd	end_otherEnd	seqnames_bait	start_bait	end_bait	RA_0h_N.1_downsampled	RA_0h_N.2_downsampled	RA_72h_N.1_downsampled	RA_72h_N.2_downsampled	RA_0h_N_downsampled	RA_72h_N_downsampled	genename	RA_0h_rep1_score	RA_0h_rep2_score	RA_72h_rep1_score	RA_72h_rep2_score	K27ac_peaks_bait	K27me3_peaks_bait	K27ac_peaks_otherEnd	K27me3_peaks_otherEnd	re_id_K27ac_peaks	chr_K27ac_peaks	start_K27ac_peaks	end_K27ac_peaks
3958676;3958518	5.58716387634834	57	62	51	2.02358622075035	19	17	20	3958676	3958518	chr11	96282749	96283262	chr11	96343553	96345280	47.4026448986625	51	16.8499074381734	16.4719066191193	57	17.9514667258117	Hoxb3	3.77482506421642	3.64166620477389	1.49204321593259	1.51564711272441	TRUE	TRUE	FALSE	TRUE	3958521	chr11	96284200	96285181
3958676;3958519	10.3359227036535	95	110	77	2.67283444430233	26	24	28	3958676	3958519	chr11	96283263	96284265	chr11	96343553	96345280	84.1014667556915	77	23.7881046185978	23.0606692667671	95	24.565164993216	Hoxb3	6.93687640109044	5.63436025334525	2.22727372663445	1.77393118420472	TRUE	TRUE	TRUE	TRUE	3958521	chr11	96284200	96285181
3958676;3958520	8.06564142655902	78	86	68	1.88335583336039	20	14	25	3958676	3958520	chr11	96284266	96284679	chr11	96343553	96345280	65.752055827177	68	13.8763943608487	20.5898832738992	78	18.8962807640123	Hoxb3	5.28417898107459	4.88439845326876	1.02367638237253	1.93747639724967	TRUE	TRUE	TRUE	TRUE	3958521	chr11	96284200	96285181
3958676;3958522	7.60641394732148	75	77	73	2.93773691802207	25	23	26	3958676	3958522	chr11	96284761	96285534	chr11	96343553	96345280	58.871026728984	73	22.7969335928229	21.4134786048551	75	23.6203509550154	Hoxb3	4.64785763578706	5.22318750573181	2.08336542552651	2.01095894441491	TRUE	TRUE	TRUE	TRUE	3958521	chr11	96284200	96285181
3958676;3958525	6.49324497096928	67	82	48	2.07259067274286	20	16	24	3958676	3958525	chr11	96286117	96286495	chr11	96343553	96345280	62.6938206724246	48	15.8587364123985	19.7662879429432	67	18.8962807640123	Hoxb3	4.89633454920668	3.25890747083689	1.33029838150145	1.80906442563471	TRUE	TRUE	FALSE	TRUE	3958521	chr11	96284200	96285181
3958676;3958525	6.49324497096928	67	82	48	2.07259067274286	20	16	24	3958676	3958525	chr11	96286117	96286495	chr11	96343553	96345280	62.6938206724246	48	15.8587364123985	19.7662879429432	67	18.8962807640123	Hoxb3	4.89633454920668	3.25890747083689	1.33029838150145	1.80906442563471	TRUE	TRUE	FALSE	TRUE	3958527	chr11	96286769	96287453
3958676;3958526	8.9917961259235	88	96	78	2.3719128187946	22	17	27	3958676	3958526	chr11	96286496	96287101	chr11	96343553	96345280	73.397643714058	78	16.8499074381734	22.2370739358111	88	20.7859088404136	Hoxb3	5.75819499100651	5.47981904243161	1.42409954412242	2.0585599526073	TRUE	TRUE	TRUE	TRUE	3958527	chr11	96286769	96287453
3958676;3958566	6.3954356707394	86	98	70	3.71886579199233	38	43	34	3958676	3958566	chr11	96302590	96302986	chr11	96343553	96345280	74.9267612914342	70	42.6203541083211	28.0022412525028	86	35.9029334516235	Hoxb3	4.52127270361925	3.74193623384003	3.17315285148516	2.10569053335053	TRUE	TRUE	FALSE	TRUE	3958572	chr11	96303541	96305271
3958676;3958567	5.99980907516141	91	107	72	3.55305002042079	37	34	40	3958676	3958567	chr11	96302987	96303361	chr11	96343553	96345280	81.8077903896272	72	33.6998148763469	32.9438132382386	91	34.9581194134228	Hoxb3	4.160063084462	3.82651336644827	2.437393806848	2.49458576996303	TRUE	TRUE	FALSE	TRUE	3958572	chr11	96303541	96305271
3958676;3958571	7.5041280063389	111	129	88	5.03236763023109	53	58	48	3958676	3958571	chr11	96303770	96304264	chr11	96343553	96345280	98.6280837407655	88	57.4879194949447	39.5325758858864	111	50.0751440246327	Hoxb3	5.89617622952254	4.65425481523853	4.26802016621194	2.6171360257201	TRUE	TRUE	TRUE	TRUE	3958572	chr11	96303541	96305271
