seqnames	start	end	width	strand	re_id
chr11	95384744	95384744	1	*	3956312
chr11	95385518	95385518	1	*	3956317
chr11	95412871	95412871	1	*	3956391
chr11	95413622	95413622	1	*	3956393
chr11	95513629	95513629	1	*	3956634
chr11	95578631	95578631	1	*	3956799
chr11	95584312	95584312	1	*	3956814
chr11	95586986	95586986	1	*	3956822
chr11	95597467	95597467	1	*	3956841
chr11	95622509	95622509	1	*	3956894
chr11	95644532	95644532	1	*	3956946
chr11	95645456	95645456	1	*	3956948
chr11	95796834	95796834	1	*	3957310
chr11	95824692	95824692	1	*	3957377
chr11	95830260	95830260	1	*	3957397
chr11	95833806	95833806	1	*	3957406
chr11	95913415	95913415	1	*	3957599
chr11	95915625	95915625	1	*	3957609
chr11	95917516	95917516	1	*	3957614
chr11	95991530	95991530	1	*	3957829
chr11	96065355	96065355	1	*	3958005
chr11	96170001	96170001	1	*	3958248
chr11	96176048	96176048	1	*	3958261
chr11	96181953	96181953	1	*	3958275
chr11	96183046	96183046	1	*	3958281
chr11	96186659	96186659	1	*	3958286
chr11	96190610	96190610	1	*	3958296
chr11	96195588	96195588	1	*	3958305
chr11	96202525	96202525	1	*	3958322
chr11	96251764	96251764	1	*	3958442
chr11	96253743	96253743	1	*	3958448
chr11	96255445	96255445	1	*	3958456
chr11	96260459	96260459	1	*	3958474
chr11	96261113	96261113	1	*	3958474
chr11	96264042	96264042	1	*	3958484
chr11	96266885	96266885	1	*	3958487
chr11	96272892	96272892	1	*	3958502
chr11	96282240	96282240	1	*	3958517
chr11	96287994	96287994	1	*	3958529
chr11	96301168	96301168	1	*	3958562
chr11	96313966	96313966	1	*	3958597
chr11	96317069	96317069	1	*	3958606
chr11	96320324	96320324	1	*	3958615
chr11	96322871	96322871	1	*	3958618
chr11	96326740	96326740	1	*	3958626
chr11	96332855	96332855	1	*	3958642
chr11	96336530	96336530	1	*	3958654
chr11	96337514	96337514	1	*	3958657
chr11	96338746	96338746	1	*	3958661
chr11	96342588	96342588	1	*	3958672
chr11	96351256	96351256	1	*	3958685
chr11	96358798	96358798	1	*	3958700
chr11	96366429	96366429	1	*	3958722
chr11	96369052	96369052	1	*	3958730
chr11	96370300	96370300	1	*	3958732
chr11	96370912	96370912	1	*	3958735
chr11	96373644	96373644	1	*	3958741
chr11	96375714	96375714	1	*	3958752
chr11	96376872	96376872	1	*	3958755
chr11	96463174	96463174	1	*	3958978
chr11	96464449	96464449	1	*	3958984
chr11	96916307	96916307	1	*	3960053
chr11	96928981	96928981	1	*	3960091
chr11	96977537	96977537	1	*	3960192
chr11	97014341	97014341	1	*	3960289
chr11	97018331	97018331	1	*	3960305
chr11	97114663	97114663	1	*	3960584
chr11	97126720	97126720	1	*	3960614
chr11	97138963	97138963	1	*	3960640
chr11	97188352	97188352	1	*	3960760
chr11	97325113	97325113	1	*	3961119
