seqnames	start	end	width	strand	re_id
chr11	95384155	95384155	1	*	3956311
chr11	95385412	95385412	1	*	3956317
chr11	95404126	95404126	1	*	3956368
chr11	95415461	95415461	1	*	3956395
chr11	95423266	95423266	1	*	3956419
chr11	95516536	95516536	1	*	3956640
chr11	95532393	95532393	1	*	3956687
chr11	95545926	95545926	1	*	3956720
chr11	95621415	95621415	1	*	3956893
chr11	95622240	95622240	1	*	3956894
chr11	95666428	95666428	1	*	3956999
chr11	95667618	95667618	1	*	3957003
chr11	95676175	95676175	1	*	3957028
chr11	95704874	95704874	1	*	3957106
chr11	95708313	95708313	1	*	3957111
chr11	95712257	95712257	1	*	3957119
chr11	95713420	95713420	1	*	3957122
chr11	95716528	95716528	1	*	3957130
chr11	95726635	95726635	1	*	3957151
chr11	95728671	95728671	1	*	3957157
chr11	95768493	95768493	1	*	3957232
chr11	95771492	95771492	1	*	3957236
chr11	95778752	95778752	1	*	3957259
chr11	95805674	95805674	1	*	3957327
chr11	95859170	95859170	1	*	3957465
chr11	95876269	95876269	1	*	3957511
chr11	95958537	95958537	1	*	3957728
chr11	95961465	95961465	1	*	3957737
chr11	95962733	95962733	1	*	3957741
chr11	95964229	95964229	1	*	3957750
chr11	95976353	95976353	1	*	3957782
chr11	95983508	95983508	1	*	3957812
chr11	95988679	95988679	1	*	3957824
chr11	95991780	95991780	1	*	3957829
chr11	95998174	95998174	1	*	3957853
chr11	95999394	95999394	1	*	3957858
chr11	96001870	96001870	1	*	3957862
chr11	96007836	96007836	1	*	3957878
chr11	96018589	96018589	1	*	3957897
chr11	96034562	96034562	1	*	3957933
chr11	96051282	96051282	1	*	3957973
chr11	96052563	96052563	1	*	3957976
chr11	96065137	96065137	1	*	3958005
chr11	96073937	96073937	1	*	3958021
chr11	96074953	96074953	1	*	3958021
chr11	96076665	96076665	1	*	3958023
chr11	96111656	96111656	1	*	3958109
chr11	96112328	96112328	1	*	3958110
chr11	96115335	96115335	1	*	3958117
chr11	96130456	96130456	1	*	3958147
chr11	96284690	96284690	1	*	3958521
chr11	96287111	96287111	1	*	3958527
chr11	96304406	96304406	1	*	3958572
chr11	96312503	96312503	1	*	3958594
chr11	96317225	96317225	1	*	3958608
chr11	96320108	96320108	1	*	3958611
chr11	96323159	96323159	1	*	3958618
chr11	96324331	96324331	1	*	3958619
chr11	96340980	96340980	1	*	3958667
chr11	96342143	96342143	1	*	3958671
chr11	96344374	96344374	1	*	3958676
chr11	96346052	96346052	1	*	3958679
chr11	96349760	96349760	1	*	3958683
chr11	96353034	96353034	1	*	3958689
chr11	96363619	96363619	1	*	3958715
chr11	96364362	96364362	1	*	3958718
chr11	96365204	96365204	1	*	3958720
chr11	96366702	96366702	1	*	3958723
chr11	96368676	96368676	1	*	3958730
chr11	96372601	96372601	1	*	3958738
chr11	96421773	96421773	1	*	3958884
chr11	96579255	96579255	1	*	3959266
chr11	96596180	96596180	1	*	3959310
chr11	96620899	96620899	1	*	3959351
chr11	96622522	96622522	1	*	3959354
chr11	96646002	96646002	1	*	3959408
chr11	96666733	96666733	1	*	3959447
chr11	96667511	96667511	1	*	3959448
chr11	96692197	96692197	1	*	3959518
chr11	96693594	96693594	1	*	3959520
chr11	96696671	96696671	1	*	3959527
chr11	96697431	96697431	1	*	3959531
chr11	96713422	96713422	1	*	3959562
chr11	96727193	96727193	1	*	3959593
chr11	96728543	96728543	1	*	3959596
chr11	96737959	96737959	1	*	3959623
chr11	96742181	96742181	1	*	3959628
chr11	96760560	96760560	1	*	3959678
chr11	96766032	96766032	1	*	3959689
chr11	96766738	96766738	1	*	3959691
chr11	96772238	96772238	1	*	3959705
chr11	96775133	96775133	1	*	3959713
chr11	96776923	96776923	1	*	3959716
chr11	96779997	96779997	1	*	3959726
chr11	96784287	96784287	1	*	3959734
chr11	96792087	96792087	1	*	3959753
chr11	96803213	96803213	1	*	3959788
chr11	96809208	96809208	1	*	3959801
chr11	96814217	96814217	1	*	3959812
chr11	96817639	96817639	1	*	3959821
chr11	96822984	96822984	1	*	3959833
chr11	96825137	96825137	1	*	3959835
chr11	96826918	96826918	1	*	3959844
chr11	96830249	96830249	1	*	3959853
chr11	96872740	96872740	1	*	3959959
chr11	96882936	96882936	1	*	3959977
chr11	96898990	96898990	1	*	3960022
chr11	96915913	96915913	1	*	3960053
chr11	96917005	96917005	1	*	3960054
chr11	96934766	96934766	1	*	3960105
chr11	96955899	96955899	1	*	3960146
chr11	96964008	96964008	1	*	3960167
chr11	96967114	96967114	1	*	3960176
chr11	96968503	96968503	1	*	3960177
chr11	96970135	96970135	1	*	3960178
chr11	96976436	96976436	1	*	3960190
chr11	96979593	96979593	1	*	3960198
chr11	96987700	96987700	1	*	3960215
chr11	97022186	97022186	1	*	3960319
chr11	97025544	97025544	1	*	3960329
chr11	97042203	97042203	1	*	3960374
chr11	97066667	97066667	1	*	3960433
chr11	97178480	97178480	1	*	3960739
chr11	97180303	97180303	1	*	3960741
chr11	97181415	97181415	1	*	3960742
chr11	97186917	97186917	1	*	3960755
chr11	97189508	97189508	1	*	3960762
chr11	97191976	97191976	1	*	3960772
chr11	97207327	97207327	1	*	3960810
chr11	97210227	97210227	1	*	3960813
chr11	97215759	97215759	1	*	3960825
chr11	97223392	97223392	1	*	3960845
chr11	97265247	97265247	1	*	3960963
chr11	97278981	97278981	1	*	3960993
chr11	97287288	97287288	1	*	3961015
chr11	97290060	97290060	1	*	3961020
chr11	97292454	97292454	1	*	3961024
chr11	97302552	97302552	1	*	3961054
chr11	97309494	97309494	1	*	3961075
chr11	97314819	97314819	1	*	3961087
chr11	97316994	97316994	1	*	3961091
chr11	97321019	97321019	1	*	3961106
chr11	97322942	97322942	1	*	3961115
chr11	97332917	97332917	1	*	3961142
