intID	RA_0h_score	RA_0h_N	RA_0h_N.1	RA_0h_N.2	RA_72h_score	RA_72h_N	RA_72h_N.1	RA_72h_N.2	baitID	otherEndID	seqnames_otherEnd	start_otherEnd	end_otherEnd	seqnames_bait	start_bait	end_bait	RA_0h_N.1_downsampled	RA_0h_N.2_downsampled	RA_72h_N.1_downsampled	RA_72h_N.2_downsampled	RA_0h_N_downsampled	RA_72h_N_downsampled	genename	RA_0h_rep1_score	RA_0h_rep2_score	RA_72h_rep1_score	RA_72h_rep2_score	K27me3_peaks_bait	K27me3_peaks_otherEnd	re_id_K27ac_peaks	chr_K27ac_peaks	start_K27ac_peaks	end_K27ac_peaks	RA_0h.sum_bednorm_reads	RA_0h.mean_bednorm_reads	RA_0h.summit_bednorm_reads	RA_72h.sum_bednorm_reads	RA_72h.mean_bednorm_reads	RA_72h.summit_bednorm_reads	RA_0h_con.sum_bednorm_reads	RA_0h_con.mean_bednorm_reads	RA_0h_con.summit_bednorm_reads	RA_72h_con.sum_bednorm_reads	RA_72h_con.mean_bednorm_reads	RA_72h_con.summit_bednorm_reads	RA_0h.sum_bednorm_scores	RA0h.mean_bednorm_scores	RA_0h.summit_bednorm_scores	RA_72h.sum_bednorm_scores	RA_72h.mean_bednorm_scores	RA_72h.summit_bednorm_scores	RA_0h_con.sum_bednorm_scores	RA_0h_con.mean_bednorm_scores	RA_0h_con.summit_bednorm_scores	RA_72h_con.sum_bednorm_scores	RA_72h_con.mean_bednorm_scores	RA_72h_con.summit_bednorm_scores	K27ac_peaks_bait	K27ac_peaks_otherEnd
3958676;3958521	5.58716387634834	57	62	51	2.02358622075035	19	17	20	3958676	3958521	chr11	96284200	96285181	chr11	96343553	96345280	47.4026448986625	51	16.8499074381734	16.4719066191193	57	17.9514667258117	Hoxb3	3.77482506421642	3.64166620477389	1.49204321593259	1.51564711272441	TRUE	TRUE	3958521	chr11	96284200	96285181	173.851585695442	43.4628964238605	0	70.9929	17.748225	0	25.9375349626264	6.4843837406566	7.01014458449362	47.9952	11.9988	11.9988	26.007978077534	6.50199451938349	0	7.4939271956848	1.8734817989212	0	1.78597066549588	0.44649266637397	0.282717735967685	4.48230705154315	1.12057676288579	0.891595533972996	TRUE	TRUE
3958676;3958527	6.49324497096928	67	82	48	2.07259067274286	20	16	24	3958676	3958527	chr11	96286769	96287453	chr11	96343553	96345280	62.6938206724246	48	15.8587364123985	19.7662879429432	67	18.8962807640123	Hoxb3	4.89633454920668	3.25890747083689	1.33029838150145	1.80906442563471	TRUE	TRUE	3958527	chr11	96286769	96287453	117.770429019493	29.4426072548732	24.5355060457277	47.9952	11.9988	8.9991	52.5760843837022	13.1440210959255	12.6182602520885	76.9923	19.248075	13.9986	15.4557691167355	3.86394227918388	2.71554458256739	4.20890568882766	1.05222642220692	0.484639607959162	3.73233876849165	0.933084692122914	0.952841275034414	7.70355964251408	1.92588991062852	1.13081137521255	TRUE	TRUE
3958676;3958572	6.3954356707394	86	98	70	3.71886579199233	38	43	34	3958676	3958572	chr11	96303541	96305271	chr11	96343553	96345280	74.9267612914342	70	42.6203541083211	28.0022412525028	86	35.9029334516235	Hoxb3	4.52127270361925	3.74193623384003	3.17315285148516	2.10569053335053	TRUE	TRUE	3958572	chr11	96303541	96305271	262.880421918511	37.5543459883587	27.3395638795251	187.9812	26.8544571428571	15.9984	44.8649253407592	6.40927504867988	3.50507229224681	70.9929	10.1418428571429	5.9994	19.1533919315457	2.73619884736368	2.15201897108978	13.9102853076493	1.98718361537848	0.96793655238992	1.51645557875267	0.216636511250382	0	3.94430113218183	0.563471590311691	0.0995663278534433	TRUE	TRUE
3958676;3958594	5.30258956093722	85	93	74	2.82243848601409	40	37	43	3958676	3958594	chr11	96309239	96315767	chr11	96343553	96345280	71.1039673479937	74	36.6733279536716	35.4145992311065	85	37.7925615280247	Hoxb3	3.70980007635951	3.43708302903279	2.11542509431791	2.38217230329733	TRUE	TRUE	3958594	chr11	96309239	96315767	569.924754719332	33.5249855717254	36.4527518393668	537.9462	31.6438941176471	43.9956	114.265356727246	6.72149157219095	9.81420241829107	136.9863	8.05801764705882	14.9985	41.2901988675976	2.42883522750574	2.50457400066007	37.9835158292657	2.23432446054504	3.42714559537784	3.90490651173418	0.229700383043187	0.316792242179993	5.39248514507203	0.317205008533649	0.706672684083653	TRUE	TRUE
3958676;3958608	5.09373147597881	114	126	99	5.77430171758659	75	63	86	3958676	3958608	chr11	96316718	96317732	chr11	96343553	96345280	96.3344073747012	99	62.4437746238192	70.8291984622131	114	70.8610528650463	Hoxb3	3.43433947669482	3.69686329252754	3.27797598040902	3.97521648637783	TRUE	TRUE	3958608	chr11	96316718	96317732	108.657241059651	27.1643102649128	79.9156482632273	96.9903	24.247575	74.9925	11.9172457936392	2.97931144840979	0	26.9973	6.749325	0	6.61516844425726	1.65379211106432	5.09373147597881	6.6900438657897	1.67251096644743	5.77430171758659	0.404973692321978	0.101243423080494	0	1.41667239367617	0.354168098419044	0	TRUE	TRUE
3958676;3958611	5.09373147597881	114	126	99	5.77430171758659	75	63	86	3958676	3958611	chr11	96318681	96321536	chr11	96343553	96345280	96.3344073747012	99	62.4437746238192	70.8291984622131	114	70.8610528650463	Hoxb3	3.43433947669482	3.69686329252754	3.27797598040902	3.97521648637783	TRUE	TRUE	3958611	chr11	96318681	96321536	212.407380910157	26.5509226137696	67.9984024695882	196.9803	24.6225375	69.993	82.7197060970248	10.3399632621281	14.7213036274366	116.9883	14.6235375	23.9976	10.4422815295956	1.30528519119945	3.24020683275177	10.8207554264425	1.35259442830532	4.89913347923661	3.2160131397742	0.402001642471775	0.47426563157361	6.03089426779882	0.753861783474852	1.29816012509585	TRUE	TRUE
3958676;3959266	1.73536943419903	12	14	9	5.28738826032462	19	17	20	3958676	3959266	chr11	96574683	96583827	chr11	96343553	96345280	10.7038230416335	9	16.8499074381734	16.4719066191193	12	17.9514667258117	Hoxb3	1.65845167838155	0.941355573689474	3.65851416972743	3.3814855746765	TRUE	FALSE	3959266	chr11	96574683	96583827	96.739995266012	4.8369997633006	1.40202891689872	223.9776	11.19888	7.9992	37.8547807562656	1.89273903781328	2.10304337534809	40.9959	2.049795	0.9999	16.0840535636737	0.804202678183683	0	63.3556617882799	3.167783089414	1.45219453285448	0.285888345479725	0.0142944172739862	0	0.698611778418767	0.0349305889209384	0	TRUE	TRUE
3958676;3959310	1.55188689610241	10	11	9	6.99292956661214	19	13	24	3958676	3959310	chr11	96595530	96596831	chr11	96343553	96345280	8.41014667556915	9	12.8852233350738	19.7662879429432	10	17.9514667258117	Hoxb3	1.11600256776025	1.02584315152267	2.99778282525469	5.31500764592355	TRUE	FALSE	3959310	chr11	96595530	96596831	17.5253614612341	3.50507229224681	4.20608675069617	37.9962	7.59924	5.9994	13.3192747105379	2.66385494210758	1.40202891689872	5.9994	1.19988	0.9999	1.73061274323452	0.346122548646904	0.178725847132105	9.25755980398078	1.85151196079616	0.66510975118554	0.889872024923241	0.177974404984648	0	0	0	0	TRUE	TRUE
3958676;3959354	1.79607629594491	11	14	7	6.50594356659707	17	13	20	3958676	3959354	chr11	96622120	96622924	chr11	96343553	96345280	10.7038230416335	7	12.8852233350738	16.4719066191193	11	16.0618386494105	Hoxb3	1.54482353171697	0.574460339392576	3.28796578033088	4.60419641790718	TRUE	FALSE	3959354	chr11	96622120	96622924	18.9273903781328	6.30913012604426	4.90710120914554	42.9957	14.3319	14.9985	11.2162313351898	3.7387437783966	4.20608675069617	9.999	3.333	3.9996	3.25208844812034	1.08402948270678	0.38561506700894	14.6050775950782	4.86835919835941	4.85067883243011	0.13689848626095	0.04563282875365	0.0680014434918057	0.0659640819429903	0.0219880273143301	0	TRUE	TRUE
3958676;3959408	2.37930902160412	11	15	5	5.19575667736156	14	19	9	3958676	3959408	chr11	96645486	96646518	chr11	96343553	96345280	11.4683818303216	5	18.8322494897233	7.4123579786037	11	13.2273965348086	Hoxb3	2.48952652366082	0.0141531260203589	5.91487404290152	1.36065688857663	TRUE	FALSE	3959408	chr11	96645486	96646518	15.422318085886	3.85557952147149	2.10304337534809	24.9975	6.249375	5.9994	4.20608675069617	1.05152168767404	2.10304337534809	6.9993	1.749825	3.9996	3.21606621556196	0.804016553890491	0	6.19110116789499	1.54777529197375	0.828465624141641	0	0	0	0	0	0	TRUE	TRUE
