intID	RA_0h_score	RA_0h_N	RA_0h_N.1	RA_0h_N.2	RA_72h_score	RA_72h_N	RA_72h_N.1	RA_72h_N.2	baitID	otherEndID	seqnames_otherEnd	start_otherEnd	end_otherEnd	seqnames_bait	start_bait	end_bait	RA_0h_N.1_downsampled	RA_0h_N.2_downsampled	RA_72h_N.1_downsampled	RA_72h_N.2_downsampled	RA_0h_N_downsampled	RA_72h_N_downsampled	genename	RA_0h_rep1_score	RA_0h_rep2_score	RA_72h_rep1_score	RA_72h_rep2_score	K27ac_peaks_bait	K27me3_peaks_bait	K27ac_peaks_otherEnd	K27me3_peaks_otherEnd	clusters_refined
3958676;3958254,3958676;3958256,3958676;3958261	7.09236177058492	32	34	29	0.234496700418825	6	7	6	3958676	3958254,3958256,3958261	chr11	96170981	96177162	chr11	96343553	96345280	25.9949988153956	29	6.93819718042436	4.9415719857358	32	5.6688842292037	Hoxb3	4.44840109187503	4.46654354437897	0.586468356274777	0.261683701765158	TRUE	TRUE	FALSE	TRUE	interaction
3958676;3958290,3958676;3958308,3958676;3958322	5.38790751063118	28	32	22	0.119018950151172	5	2	8	3958676	3958290,3958308,3958322	chr11	96187317	96203554	chr11	96343553	96345280	24.4658812380193	22	1.98234205154982	6.58876264764773	28	4.72407019100309	Hoxb3	3.77832865200289	2.88012371280908	0	0.629081829816617	TRUE	TRUE	FALSE	TRUE	interaction
3958676;3958489,3958676;3958496,3958676;3958497,3958676;3958498,3958676;3958503,3958676;3958504,3958676;3958505,3958676;3958507,3958676;3958512,3958676;3958514,3958676;3958517,3958676;3958518,3958676;3958519,3958676;3958520,3958676;3958522,3958676;3958525,3958676;3958526,3958676;3958532,3958676;3958534,3958676;3958537,3958676;3958541,3958676;3958542,3958676;3958547,3958676;3958550,3958676;3958559,3958676;3958560,3958676;3958562,3958676;3958563,3958676;3958566,3958676;3958567,3958676;3958571,3958676;3958584,3958676;3958608	5.66678780855164	49	55	42	0.773379712070618	11	10	11	3958676	3958489,3958496,3958497,3958498,3958503,3958504,3958505,3958507,3958512,3958514,3958517,3958518,3958519,3958520,3958522,3958525,3958526,3958532,3958534,3958537,3958541,3958542,3958547,3958550,3958559,3958560,3958562,3958563,3958566,3958567,3958571,3958584,3958608	chr11	96267885	96318052	chr11	96343553	96345280	42.0507333778457	42	9.91171025774909	9.05954864051563	49	10.3929544202068	Hoxb3	3.92469845449131	3.48293817437634	0.85336904030401	0.655628738155974	TRUE	TRUE	FALSE	TRUE	interaction
3958676;3958841	2.847967654598	34	33	36	5.46401564390741	38	33	43	3958676	3958841	chr11	96406590	96407047	chr11	96343553	96345280	25.2304400267074	36	32.708643850572	35.4145992311065	34	35.9029334516235	Hoxb3	1.86306199005402	2.49677120243425	3.26766688323551	3.65510209709145	TRUE	TRUE	FALSE	FALSE	interaction
3958676;3959148,3958676;3959160,3958676;3959166,3958676;3959172,3958676;3959180,3958676;3959185,3958676;3959194,3958676;3959195,3958676;3959196,3958676;3959200,3958676;3959203,3958676;3959210,3958676;3959215,3958676;3959220,3958676;3959222,3958676;3959224,3958676;3959231	1.87276186238652	15	17	13	6.3041547893756	21	14	26	3958676	3959148,3959160,3959166,3959172,3959180,3959185,3959194,3959195,3959196,3959200,3959203,3959210,3959215,3959220,3959222,3959224,3959231	chr11	96530325	96565206	chr11	96343553	96345280	12.9974994076978	13	13.8763943608487	21.4134786048551	15	19.841094802213	Hoxb3	1.43740277631358	1.55834883817314	2.60876969562926	4.59648720671061	TRUE	TRUE	FALSE	FALSE	interaction
3958676;3959263,3958676;3959265,3958676;3959268,3958676;3959273,3958676;3959277,3958676;3959286,3958676;3959309,3958676;3959316,3958676;3959319	1.73536943419903	12	14	9	5.28738826032462	19	17	20	3958676	3959263,3959265,3959268,3959273,3959277,3959286,3959309,3959316,3959319	chr11	96577316	96600815	chr11	96343553	96345280	10.7038230416335	9	16.8499074381734	16.4719066191193	12	17.9514667258117	Hoxb3	1.65845167838155	0.941355573689474	3.65851416972743	3.3814855746765	TRUE	TRUE	TRUE	FALSE	interaction
3958676;3959342,3958676;3959344,3958676;3959349,3958676;3959355,3958676;3959357,3958676;3959367	0.574909095154103	7	6	8	5.78297829537352	16	12	20	3958676	3959342,3959344,3959349,3959355,3959357,3959367	chr11	96613360	96631400	chr11	96343553	96345280	4.58735273212863	8	11.8940523092989	16.4719066191193	7	15.1170246112099	Hoxb3	0.00347158622336607	0.82985660554038	2.82708842472078	4.46417539701208	TRUE	TRUE	FALSE	FALSE	interaction
3958676;3959406	2.37930902160412	11	15	5	5.19575667736156	14	19	9	3958676	3959406	chr11	96644886	96645747	chr11	96343553	96345280	11.4683818303216	5	18.8322494897233	7.4123579786037	11	13.2273965348086	Hoxb3	2.48952652366082	0.0141531260203589	5.91487404290152	1.36065688857663	TRUE	TRUE	TRUE	FALSE	interaction
3958676;3959434,3958676;3959446,3958676;3959448,3958676;3959473,3958676;3959481	2.0580368032852	10	11	9	5.96245219293032	16	12	20	3958676	3959434,3959446,3959448,3959473,3959481	chr11	96658132	96681278	chr11	96343553	96345280	8.41014667556915	9	11.8940523092989	16.4719066191193	10	15.1170246112099	Hoxb3	1.47730959952121	1.35866372895743	3.25937367805855	5.13716896549953	TRUE	TRUE	FALSE	FALSE	interaction
3958676;3959915	5.9257206898586	13	14	11	4.86986999101975	11	10	12	3958676	3959915	chr11	96854820	96855567	chr11	96343553	96345280	10.7038230416335	11	9.91171025774909	9.88314397147159	13	10.3929544202068	Hoxb3	4.39661342575202	3.846997413483	3.60438526859095	4.09527783276066	TRUE	TRUE	FALSE	FALSE	interaction
