intID	RA_0h_score	RA_0h_N	RA_0h_N.1	RA_0h_N.2	RA_72h_score	RA_72h_N	RA_72h_N.1	RA_72h_N.2	baitID	otherEndID	seqnames_otherEnd	start_otherEnd	end_otherEnd	seqnames_bait	start_bait	end_bait	RA_0h_N.1_downsampled	RA_0h_N.2_downsampled	RA_72h_N.1_downsampled	RA_72h_N.2_downsampled	RA_0h_N_downsampled	RA_72h_N_downsampled	genename	RA_0h_rep1_score	RA_0h_rep2_score	RA_72h_rep1_score	RA_72h_rep2_score	K27ac_peaks_bait	K27me3_peaks_bait	K27ac_peaks_otherEnd	K27me3_peaks_otherEnd	re_id_K27me3_peaks	chr_K27me3_peaks	start_K27me3_peaks	end_K27me3_peaks
3958676;3958254	7.09236177058492	32	34	29	0.234496700418825	6	7	6	3958676	3958254	chr11	96170981	96172418	chr11	96343553	96345280	25.9949988153956	29	6.93819718042436	4.9415719857358	32	5.6688842292037	Hoxb3	4.44840109187503	4.46654354437897	0.586468356274777	0.261683701765158	TRUE	TRUE	FALSE	TRUE	3958248	chr11	101163769	101171052
3958676;3958254	7.09236177058492	32	34	29	0.234496700418825	6	7	6	3958676	3958254	chr11	96170981	96172418	chr11	96343553	96345280	25.9949988153956	29	6.93819718042436	4.9415719857358	32	5.6688842292037	Hoxb3	4.44840109187503	4.46654354437897	0.586468356274777	0.261683701765158	TRUE	TRUE	FALSE	TRUE	3958261	chr11	101172346	101178137
3958676;3958256	5.00922899599338	25	28	21	0.408345440124187	7	7	7	3958676	3958256	chr11	96172975	96173807	chr11	96343553	96345280	21.4076460832669	21	6.93819718042436	5.76516731669176	25	6.61369826740432	Hoxb3	3.44858415525534	2.92617694236455	0.582891770075221	0.220817769972635	TRUE	TRUE	FALSE	TRUE	3958261	chr11	101172346	101178137
3958676;3958261	6.36126692011232	35	39	30	0.729947379176028	7	4	10	3958676	3958261	chr11	96175740	96177162	chr11	96343553	96345280	29.8177927588361	30	3.96468410309963	8.23595330955966	35	6.61369826740432	Hoxb3	4.26128101656354	4.53985053919711	0.0052600767863904	1.04632950687113	TRUE	TRUE	FALSE	TRUE	3958261	chr11	101172346	101178137
3958676;3958290	5.38790751063118	28	32	22	0.119018950151172	5	2	8	3958676	3958290	chr11	96187317	96188091	chr11	96343553	96345280	24.4658812380193	22	1.98234205154982	6.58876264764773	28	4.72407019100309	Hoxb3	3.77832865200289	2.88012371280908	0	0.629081829816617	TRUE	TRUE	FALSE	TRUE	3958286	chr11	101266322	101266649
3958676;3958290	5.38790751063118	28	32	22	0.119018950151172	5	2	8	3958676	3958290	chr11	96187317	96188091	chr11	96343553	96345280	24.4658812380193	22	1.98234205154982	6.58876264764773	28	4.72407019100309	Hoxb3	3.77832865200289	2.88012371280908	0	0.629081829816617	TRUE	TRUE	FALSE	TRUE	3958296	chr11	101280300	101280618
3958676;3958308	5.35092022143936	29	36	20	0.0136840799065556	5	1	9	3958676	3958308	chr11	96196118	96196585	chr11	96343553	96345280	27.5241163927718	20	0.991171025774909	7.4123579786037	29	4.72407019100309	Hoxb3	4.15562637387476	2.41298090620757	0	0.611545935955457	TRUE	TRUE	FALSE	TRUE	3958305	chr11	101315895	101316453
3958676;3958322	7.63420259694121	43	49	36	0.355185680204189	6	5	7	3958676	3958322	chr11	96202362	96203554	chr11	96343553	96345280	37.4633806457171	36	4.95585512887454	5.76516731669176	43	5.6688842292037	Hoxb3	4.8114454542757	4.85279996609212	0.234339543879907	0.428024565650038	TRUE	TRUE	FALSE	TRUE	3958322	chr11	101442577	101442881
3958676;3958489	5.66678780855164	49	55	42	0.773379712070618	11	10	11	3958676	3958489	chr11	96267885	96268590	chr11	96343553	96345280	42.0507333778457	42	9.91171025774909	9.05954864051563	49	10.3929544202068	Hoxb3	3.92469845449131	3.48293817437634	0.85336904030401	0.655628738155974	TRUE	TRUE	FALSE	TRUE	3958487	chr11	101936721	101937073
3958676;3958489	5.66678780855164	49	55	42	0.773379712070618	11	10	11	3958676	3958489	chr11	96267885	96268590	chr11	96343553	96345280	42.0507333778457	42	9.91171025774909	9.05954864051563	49	10.3929544202068	Hoxb3	3.92469845449131	3.48293817437634	0.85336904030401	0.655628738155974	TRUE	TRUE	FALSE	TRUE	3958502	chr11	101961570	101965270
